unidad;CLUES;idInsti
C.S. T-II ERMITA ZARAGOZA;DFIMB002510;2
CENTRO DE SALUD TII EL PIRU;DFIMB002522;2
CENTRO DE SALUD T-I ZÓCALO;DFIMB002534;2
HOSPITAL GENERAL DR. ENRIQUE CABRERA;DFIMB002575;2
C.S.T-III OASIS;DFIMB002580;2
UNIDAD MÉDICA MÓVIL 1;DFIMB002592;2
UNIDAD MÉDICA MÓVIL 2;DFIMB002604;2
UNIDAD MÉDICA MÓVIL 3;DFIMB002616;2
UNIDAD MÉDICA MÓVIL 4 ;DFIMB002621;2
UNIDAD MÉDICA MÓVIL 5;DFIMB002633;2
UNIDAD MÉDICA MÓVIL 6;DFIMB002645;2
CLÍNICA HOSPITAL EMILIANO ZAPATA;DFIMB002650;2
HOSPITAL GENERAL TLÁHUAC;DFIMB002662;2
HOSPITAL GENERAL AJUSCO MEDIO;DFIMB002674;2
CARAVANA TOPILEJO;DFIMB002686;2
CARAVANA IZTAP - 4 DEGOLLADO;DFIMB002691;2
CARAVANA XALPA;DFIMB002703;2
CARAVANA ZAPOTITLA;DFIMB002715;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LOMAS DE LA ERA;DFIMB002720;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AMPLIACIÓN PRESIDENTES;DFIMB002732;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES TEZOZOMOC;DFIMB002744;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTIAGO AHUIZOTLA;DFIMB002756;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES PORTALES;DFIMB002761;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CARMEN SERDÁN;DFIMB002773;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GUSTAVO A. ROVIROSA PÉREZ;DFIMB002785;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAN MATEO;DFIMB002790;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JOSÉ MARÍA RODRÍGUEZ;DFIMB002802;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CLÍNICA DE ESPECIALIDADES N°. 5;DFIMB002814;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VALLE MADERO;DFIMB002826;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LA MALINCHE;DFIMB002831;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES FELIPE BERRIOZABAL;DFIMB002843;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES TLALPEXCO;DFIMB002855;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES PREDIO LA FORTALEZA;DFIMB002860;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CHINAMPAC DE JUÁREZ;DFIMB002872;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTIAGO ACAHUALTEPEC;DFIMB002884;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES FRANCISCO J. BALMIS;DFIMB002896;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DR. GUILLERMO ROMÁN Y CARRILLO;DFIMB002901;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES EJIDO LOS REYES;DFIMB002913;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES OASIS;DFIMB002925;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AMPLIACIÓN LOMAS DE SAN BERNABÉ;DFIMB002930;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MÉXICO ESPAÑA;DFIMB002942;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DR. GASTÓN MELO;DFIMB002954;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES 13 DE SEPTIEMBRE;DFIMB002966;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MIGUEL HIDALGO;DFIMB002971;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAN ANDRÉS TOTOLTEPEC;DFIMB002983;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GERARDO VARELA MARISCAL;DFIMB002995;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ROMERO RUBIO;DFIMB003000;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES EL ARENAL 4TA. SECCIÓN;DFIMB003012;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES TULYEHUALCO;DFIMB003024;2
CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTA MARÍA NATIVITAS;DFIMB003036;2
UNEME E.C. MÉXICO ESPAÑA;DFIMB003041;2
UNEME E.C. BEATRÍZ VELASCO;DFIMB003053;2
UNEME E.C. DAVID FRAGOSO;DFIMB003065;2
UNEME E.C. SAN GREGORIO ATLAPULCO;DFIMB003070;2
UNEME E.C. MIXQUIC;DFIMB003082;2
UNEME E.C. ROMÁN Y CARRILLO;DFIMB003094;2
UNEME E.C. MANUEL ESCONTRÍA;DFIMB003106;2
CENTRO DE SALUD T-II SANTIAGO TEPALCATLALPAN;DFIMB003111;2
C.S.T-I GARCIMARRERO;DFIMB003123;2
CLÍNICA DE ATENCIÓN INTEGRAL A LA MUJER;DFIMB003135;2
C.S. T-II LA CONCHITA;DFIMB003140;2
CLÍNICA GERIÁTRICA COYOACÁN;DFIMB003152;2
CENTRO DE SALUD T-II SAN MIGUEL XICALCO;DFIMB003164;2
CENTRO DE SALUD T-II SOLIDARIDAD TETELCO;DFIMB003176;2
CENTRO DE SALUD T-I CENTRAL DE ABASTO;DFIMB003181;2
CENTRO DE SALUD T-III DR. MAXIMILIANO RUIZ CASTAÑEDA;DFIMB003193;2
CENTRO DE SALUD T-I XOCO;DFIMB003205;2
IMSS BIENESTAR (OFICINAS CENTRALES - ADMINISTRATIVO);;2
BS CMN LA RAZA;DFIMS000015;3
HES CMN LA RAZA;DFIMS000020;3
UMF 13 AZCAPOTZALCO;DFIMS000032;3
HGO 3 CMN LA RAZA;DFIMS000044;3
HINF CMN LA RAZA;DFIMS000056;3
HG CMN LA RAZA.;DFIMS000061;3
C EXTERNA CMN LA RAZA;DFIMS000073;3
UMF 11 PERALVILLO;DFIMS000085;3
UMF 33 ROSARIO;DFIMS000090;3
UMF 36 C. ATZACOALCO;DFIMS000102;3
UMF 40 AZCAPOTZALCO;DFIMS000114;3
HGZ 32 VILLA COAPA;DFIMS000126;3
UMF 15 ERMITA IZTAPALAPA;DFIMS000131;3
UMF 19 COYOACÁN;DFIMS000143;3
UMF 46 SORIANO;DFIMS000155;3
UMFR VILLA COAPA;DFIMS000160;3
UMF-UMAA 42 CUAJIMALPA;DFIMS000172;3
HGP 3A MAGDALENA SALINAS;DFIMS000184;3
HORTO MAGDALENA DE LAS SALINAS;DFIMS000196;3
HPSIQ MORELOS;DFIMS000201;3
HTO MAGDALENA DE LAS SALINAS.;DFIMS000213;3
HGZ 24 INSURGENTES;DFIMS000225;3
HGZMF 29 S. JUAN ARAGÓN;DFIMS000230;3
UMF 20 VALLEJO;DFIMS000242;3
UMF 23 UNIDAD MORELOS;DFIMS000254;3
UMF 3 LA JOYA;DFIMS000266;3
UMF 41 FORTUNA;DFIMS000271;3
UMF 44 LA ESCALERA;DFIMS000283;3
UMF 94 SAN JUAN ARAGÓN;DFIMS000295;3
UMFR MAGDALENA DE LAS SALINAS;DFIMS000300;3
HGZ 2A PASOTRONCOSO;DFIMS000312;3
HGZ 30 IZTACALCO;DFIMS000324;3
UMF 34 C. PANTITLÁN;DFIMS000336;3
UMF 35 C. 7 ZARAGOZA;DFIMS000341;3
UMF 45 IZTACALCO;DFIMS000353;3
HGZ 47 VICENTE GUERRERO;DFIMS000365;3
UMF 120 ZARAGOZA;DFIMS000382;3
UMF 160 EL VERGEL;DFIMS000394;3
UMF 31 IZTAPALAPA;DFIMS000406;3
UMF 43 ROJO GÓMEZ;DFIMS000411;3
UMF 140 LA TEJA;DFIMS000423;3
UMF 18 CONTRERAS;DFIMS000435;3
UMF 22 INDEPENDECIA;DFIMS000440;3
HGO 4 CMN SIGLO XXI SAN ANGEL;DFIMS000452;3
HGZMF 8 SAN ÁNGEL;DFIMS000464;3
UMF 12 SANTA FE;DFIMS000476;3
HPSIQ SAN FERNANDO;DFIMS000481;3
UMF 7 CALZ. TLALPAN;DFIMS000493;3
HGZ 1A VENADOS;DFIMS000522;3
HGZ 1 CARLOS MC GREGOR;DFIMS000534;3
UMF 28 DEL VALLE;DFIMS000546;3
UMF 9 SAN PEDRO PINOS;DFIMS000551;3
BS CMN SIGLO XXI;DFIMS000563;3
HC CMN SIGLO XXI;DFIMS000575;3
HES CMN SIGLO XXI;DFIMS000580;3
HONCO CMN SIGLO XXI;DFIMS000604;3
HP CMN SIGLO XXI;DFIMS000616;3
HGZ 27 TLATELOLCO;DFIMS000621;3
UMF 1 COL. ROMA;DFIMS000645;3
UMF 16 COL. GUERRERO;DFIMS000650;3
UMF 2 STA. MARÍA;DFIMS000662;3
UMF 37 CFE. ALAMEDA;DFIMS000674;3
UMF 38 CFE. PARQUE ESPAÑA;DFIMS000686;3
UMF 39 CFE. XOLA;DFIMS000691;3
UMF 4 DOCTORES;DFIMS000703;3
UMF 6 MERCED;DFIMS000720;3
UMFR CONJUNTO COLONIA;DFIMS000732;3
UMF 17 LEGARIA;DFIMS000744;3
UMF 5 C. ANAHUAC;DFIMS000756;3
UMF 14 AEROPUERTO;DFIMS000761;3
UMF 21 FCO. DEL PASO;DFIMS000773;3
UMF 49 EL ARBOLILLO;DFIMS000785;3
HPSIQ MF 10 POSTAL;DFIMS000790;3
UMF-UMAA 161 AV. TOLUCA;DFIMS000802;3
HGR 2 VILLA COAPA;DFIMS000814;3
UMF-UMAA 162 TLÁHUAC;DFIMS000826;3
HGZ 48 SAN PEDRO XALPA;DFIMS000831;3
